catering,scenic_spots,public_facilities,companies,shopping,transportation,financial,science_education,housing,life_services,sports_leisure,medical,government
0.3142387289381144,0.37183701068909497,0.11193409371544598,0.22386818743089196,0.22386818743089196,0.4754879163862157,0.0,0.22386818743089196,0.4477363748617839,0.0,0.4012795285220815,0.11193409371544598,0.0
0.0,0.7559289460184544,0.3779644730092272,0.3779644730092272,0.0,0.0,0.0,0.0,0.3779644730092272,0.0,0.0,0.0,0.0
0.39565332366102085,0.0,0.0,0.0,0.3643105461705649,0.39565332366102085,0.14093455749123213,0.3643105461705649,0.576064766793471,0.22337598867933284,0.14093455749123213,0.0,0.0
0.35222098346826347,0.45523901711629366,0.17611049173413174,0.0,0.35222098346826347,0.17611049173413174,0.17611049173413174,0.17611049173413174,0.0,0.279128525382162,0.558257050764324,0.17611049173413174,0.0
0.4583561847229042,0.2876063883856826,0.12386532942986526,0.0,0.24773065885973053,0.24773065885973053,0.0,0.24773065885973053,0.3926438045716182,0.12386532942986526,0.5261709408468781,0.24773065885973053,0.0
0.43075012659171946,0.2500427052024003,0.17068069945719158,0.17068069945719158,0.3230625949437896,0.3725376519158532,0.10768753164792987,0.3230625949437896,0.3725376519158532,0.21537506329585973,0.3023171220160499,0.10768753164792987,0.21537506329585973
0.28465265208962026,0.31519854742023584,0.15038792643095794,0.09488421736320675,0.40306127752872756,0.3007758528619159,0.15038792643095794,0.28465265208962026,0.370702256487987,0.3007758528619159,0.45116377929287377,0.0,0.0
0.0,0.2440862054687383,0.0,0.0,0.0,0.5667506180523129,0.0,0.38686748261126946,0.6852366103290262,0.0,0.0,0.0,0.0
0.0,0.854057046587041,0.3678223492224343,0.0,0.0,0.3678223492224343,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5282703510681938,0.3606006140024352,0.0,0.0,0.3606006140024352,0.0,0.0,0.3606006140024352,0.5282703510681938,0.22751365653027267,0.0,0.0,0.0
0.48145526687362167,0.2100149202083528,0.0,0.1050074601041764,0.3998006700804035,0.33286577312218496,0.31502238031252916,0.16643288656109248,0.33286577312218496,0.27144034666526884,0.2100149202083528,0.2947932099762271,0.0
0.0,0.0,0.0,0.0,0.6457566077490315,0.6457566077490315,0.0,0.0,0.40742705739423674,0.0,0.0,0.0,0.0
