site_name,Latitude,Longitude
1431A,30.72358333,103.97275
1432A,30.6872,104.176
1433A,30.5706,104.079
1434A,30.63,104.1113889
1437A,30.6578,104.054
1438A,31.0283,103.613
2880A,30.65638889,104.0238889
3136A,30.5589,104.2725
